"covariateId","covariateName","analysisId","conceptId"
4052017804,"observation during day -30 through 0 days relative to index: Religious affiliation",804,4052017
40766231804,"observation during day -30 through 0 days relative to index: Marital status [NHANES]",804,40766231
44803968804,"observation during day -30 through 0 days relative to index: Ethnicity",804,44803968
4309033804,"observation during day -30 through 0 days relative to index: Percutaneous insertion of intra-aortic balloon catheter",804,4309033
4168999804,"observation during day -30 through 0 days relative to index: Open insertion of Hickman central venous catheter",804,4168999
4305794804,"observation during day -30 through 0 days relative to index: Introduction of catheter into pulmonary artery",804,4305794
36715149804,"observation during day -30 through 0 days relative to index: Introduction of urinary catheter",804,36715149
4078442804,"observation during day -30 through 0 days relative to index: Catheter procedure",804,4078442
46235654804,"observation during day -30 through 0 days relative to index: Primary insurance",804,46235654
4197894804,"observation during day -30 through 0 days relative to index: Insertion of implantable venous access port",804,4197894
4296248804,"observation during day -30 through 0 days relative to index: Cost containment",804,4296248
45890031804,"observation during day -30 through 0 days relative to index: Insertion of peripherally inserted central venous catheter (PICC), without subcutaneous port or pump",804,45890031
4048955804,"observation during day -30 through 0 days relative to index: Introduction of intracranial pressure catheter",804,4048955
42536500804,"observation during day -30 through 0 days relative to index: Insertion of catheter into peripheral vein",804,42536500
4213288804,"observation during day -30 through 0 days relative to index: Insertion of catheter into artery",804,4213288
4257889804,"observation during day -30 through 0 days relative to index: Insertion of needle for intraosseous infusion",804,4257889
42689574804,"observation during day -30 through 0 days relative to index: Ultrasonography guided insertion of midline intravenous catheter",804,42689574
4195428804,"observation during day -30 through 0 days relative to index: Impaired skin integrity",804,4195428
40758030804,"observation during day -30 through 0 days relative to index: Preferred language",804,40758030
4141149804,"observation during day -30 through 0 days relative to index: Open insertion of central venous catheter",804,4141149
38003591004,"race = Thai",4,38003591
38003574004,"race = Asian Indian",4,38003574
38003592004,"race = Vietnamese",4,38003592
38003614004,"race = European",4,38003614
38003600004,"race = African",4,38003600
8657004,"race = American Indian or Alaska Native",4,8657
38003599004,"race = African American",4,38003599
38003605004,"race = Haitian",4,38003605
38003585004,"race = Korean",4,38003585
38003615004,"race = Middle Eastern or North African",4,38003615
8557004,"race = Native Hawaiian or Other Pacific Islander",4,8557
38003579004,"race = Chinese",4,38003579
38003581004,"race = Filipino",4,38003581
38003578004,"race = Cambodian",4,38003578
8515004,"race = Asian",4,8515
